X,avg_log2FC,pct.1,pct.2,p_val_adj
Nav2,1.295569722,1,0.995,6.9731E-151
Cmc4,-0.017066699,0.06,0.066,1
Tchp,0.451279745,0.102,0.086,1
Zeb2os,-0.851824254,0.023,0.043,1
Atp8b4,-0.480158544,0,0.001,1
Odf2,0.267002481,0.781,0.799,1
Bach2os,-1.6447617,0.014,0.053,0.114452909
Pnrc1,-0.386121361,0.083,0.11,1
Hspa12a,0.093598622,0.794,0.823,1
Spef2,1.026776706,0.064,0.038,1
Slco5a1,0.83080201,0.258,0.198,1
Rhod,-0.288869332,0.004,0.006,1
Plekha6,0.620027846,0.93,0.916,3.52261E-25
Slc6a6,-0.029185403,0.776,0.844,1
Nadsyn1,0.17319872,0.135,0.142,1
Lrrc27,1.391374993,0.053,0.024,1
Tmem132b,-0.124027181,0.952,0.992,0.001502154
Gpr39,-0.943057792,0.018,0.05,1
Adcy9,-0.02117893,0.851,0.911,1
Mrpl17,-0.404457961,0.06,0.084,1
Baiap2l2,-0.575469738,0.014,0.016,1
Slc25a10,-1.430315107,0.014,0.039,1
Macf1,0.809437839,0.995,0.997,3.1379E-120
Fam217b,-0.339866732,0.043,0.067,1
Cgas,0.827406049,0.071,0.05,1
Pth2r,0.466927958,0.031,0.023,1
Ephb3,-1.479467767,0.061,0.166,1.85234E-08
Kcnv2,-0.548390801,0.035,0.053,1
Atxn7l3,0.360126198,0.195,0.166,1
Kcns3,-1.198097341,0.035,0.077,1
Nutm1,-1.350300128,0.002,0.013,1
Fabp5,0.479831581,0.107,0.122,1
Ttll13,-0.027625265,0.018,0.023,1
Fnbp1,0.300316856,0.849,0.858,0.000190324
Cideb,1.016360389,0.01,0.006,1
Gask1a,0.337036326,0.024,0.023,1
Zfp970,0.198195586,0.059,0.059,1
Abca6,1.211629739,0.11,0.054,0.022419652
Fanci,-0.550604844,0.011,0.023,1
Nol4l,0.733615462,0.688,0.633,5.61846E-09
Mtfr1l,-0.368839012,0.112,0.166,1
Ghdc,1.218974156,0.031,0.018,1
Tmc6,1.488604847,0.024,0.011,1
Prkcg,-0.496299368,0.751,0.919,3.98349E-29
Minar1,-0.545422273,0.035,0.064,1
Gamt,-0.591740206,0.002,0.01,1
