X,SCI,IC
Id2,-0.716068857,-1.0990539
Rapgef5,-0.333112466,-1.09814935
Msmo1,0.033751288,-1.097674489
Il1r2,-0.052681481,-1.096409479
Rtl4,-0.371177001,-1.09600268
Cntn1,-0.177301176,-1.094457738
B3galt2,-0.05103499,-1.094136132
Cthrc1,-0.020998389,-1.090834332
Sorbs2,0.003775158,-1.085856346
Slc35f1,-0.416939888,-1.085129821
Gabra5,0.027409288,-1.082716175
Ncapg2,-0.208879946,-1.080278
Krt24,-0.019031957,-1.079764251
Man2a1,-0.098822272,-1.078205464
Sigmar1,-0.098934984,-1.07743684
Tenm2,-0.255446143,-1.073338024
Kifc1,-0.128490604,-1.072765622
Arhgap20os,-0.104307307,-1.072358757
Vmn2r87,0.190604634,-1.071605679
Eid1,0.013022405,-1.07018344
Slc16a11,-0.000638321,-1.066859681
Armh4,-0.072284234,-1.066843956
Lyn,-0.057168907,-1.06545434
Slc12a1,-0.141964108,-1.064806733
Cx3cl1,0.136183614,-1.062321128
Creg2,-0.457004581,-1.059822235
Hmgn2,-0.096021166,-1.059540123
Sycp3,-0.073511224,-1.055755874
Ttyh1,-0.106860206,-1.055512822
Ckmt2,-0.169824908,-1.055195939
Gpr22,-0.133448645,-1.054852888
Elovl6,0.10902087,-1.050705702
Uty,-0.019071736,-1.050464457
Ache,-0.015506207,-1.050172876
Kmo,0.010945262,-1.049922255
Far2,-0.318339388,-1.049815133
Ccng1,-0.093204258,-1.049763839
Camkk2,-0.100106798,-1.047435496
Nap1l3,-0.207172374,-1.046265951
Il1rapl1,0.031244758,-1.044204849
Fat4,-0.231755745,-1.043041355
Slc35f4,-0.392049753,-1.041544927
Zfp30,0.024604626,-1.038959957
Wwtr1,0.08649853,-1.035527731
Rwdd2a,-0.070893664,-1.035151972
Dsel,-0.151980285,-1.034648252
Aagab,0.010604861,-1.033095817
Htr7,-0.086224942,-1.032426512
Foxg1,-0.465011304,-1.031878954
Smad7,0.153569332,-1.028100986
Fam13a,0.037849783,-1.027378363
Klhl3,0.031137311,-1.026014106
Pdzd2,-0.152208323,-1.024040464
Adam18,-0.137917692,-1.023836387
Mpped1,-0.008757441,-1.023605437
Echdc2,0.134132761,-1.02220065
Mblac2,0.023321386,-1.021467831
Lingo2,-0.355094912,-1.019588453
Pkdcc,-0.049587736,-1.019523198
Pigk,-0.189118435,-1.019084904
Tmem136,0.005281358,-1.01495153
Haus3,-0.223782231,-1.014709983
Tfrc,-0.101723104,-1.014299027
Nrgn,0.071525979,-1.013572909
Lrrn1,0.015003474,-1.010288052
Rhobtb1,0.16678956,-1.00729646
Psd3,-0.013548561,-1.006493855
Bcl11b,-0.028299167,-1.005385403
Sass6,-0.125856486,-1.005232683
Ddn,-0.07300508,-1.003917491
Rasal1,-0.060233198,-1.003236658
Bmyc,-0.105290314,-1.000677508
Dkk3,0.187756023,-0.998539993
Ctxn1,-0.170690653,-0.998459313
Tmem91,-0.141918248,-0.995828745
Tnfrsf11a,-0.362970323,-0.994769132
Slc16a4,-0.105662741,-0.99433135
Nqo2,-0.182455824,-0.993630394
Arap2,-0.329775204,-0.991948291
Cyc1,-0.136106585,-0.99147937
Mfsd4a,-0.05265371,-0.987112048
Bex3,-0.055986804,-0.98201769
Rasal2,-0.157998237,-0.98042152
Cxxc4,0.031399522,-0.977417508
Cspg5,-0.418170547,-0.976793139
Myadml2os,0.044662324,-0.975448366
Ccdc115,-0.234743276,-0.974879241
Fstl5,-0.026932456,-0.974602867
Dhcr24,0.007572128,-0.971462574
Herc3,0.021790719,-0.969575197
Lama4,-0.351804363,-0.967329476
Scai,-0.28409786,-0.966011392
Prkca,0.09821637,-0.964973044
Ndrg3,-0.207504669,-0.9644626
Pnmal2,-0.00268105,-0.964358194
Zc3h8,-0.504115178,-0.964285029
Plekha7,-0.145996569,-0.964060518
Abhd14b,0.250621195,-0.963772394
Gucy1a2,-0.19439228,-0.963467979
Chdh,0.102467286,-0.963339197
Prdx4,-0.205576232,-0.962115987
Sv2b,0.014440687,-0.961172381
Tbc1d8b,0.026946533,-0.960314104
Ankrd29,0.049841821,-0.959801828
Dclk3,-0.373271004,-0.959720132
Sstr2,0.014450343,-0.959464321
Glp2r,-0.032818476,-0.959300341
Pla2g3,0.06659852,-0.95877803
Tomm22,-0.073225462,-0.957045032
Sort1,0.035209214,-0.955768301
Ier5,0.059158531,-0.955708715
Cys1,0.222465716,-0.95535533
Hcfc1r1,-0.166249163,-0.952889312
Plxna4os3,-0.038376221,-0.951795153
Slc18a2,-0.232286992,-0.951754006
Pid1,0.322628763,-0.951699334
Pianp,-0.04119311,-0.950924257
Kcnrg,0.080745662,-0.950298116
Mpg,-0.162088554,-0.948963793
Zfp770,-0.104716104,-0.948182588
Skap1,-0.103928228,-0.9473225
Pfas,-0.104073621,-0.945932946
Hectd2os,0.081223187,-0.944430252
Ddx3y,0.018132477,-0.943030584
Egr1,-0.061151342,-0.942758353
Ptges2,-0.1419105,-0.941351857
Pdxp,0.13781458,-0.939943596
Plppr5,-0.038896958,-0.936743889
Exosc8,0.035581723,-0.931596439
Zfp692,0.111341616,-0.928598309
Akr1b3,-0.123684927,-0.925654277
Rab3c,0.226552483,-0.925166462
Wdr90,-0.077365672,-0.924752372
Pik3c2b,0.061947093,-0.924700953
Pgp,-0.027187033,-0.924615724
Zfp612,0.021214695,-0.924251381
Cadm2,-0.001571685,-0.924046606
Mrpl53,-0.133902954,-0.923057512
Ssna1,-0.094766615,-0.921761019
Ptgis,-0.171104671,-0.920695289
Dzip1l,-0.023122971,-0.919677886
Tusc3,-0.267326424,-0.919097989
Hacd4,-0.044134549,-0.9174846
Topbp1,0.021566395,-0.915571964
Siah3,0.208155413,-0.915011424
Lamtor4,0.044232407,-0.91452955
Zfp101,-0.52913969,-0.914080059
Gpd1,0.035604331,-0.913965181
Slc22a17,0.04249376,-0.913398433
Pusl1,-0.074976826,-0.913281365
Lrp1b,0.365794657,-0.911525449
Tigd2,0.013282943,-0.911290639
Hdac5,0.092610595,-0.909386899
Pantr2,0.016308763,-0.909386057
Sntg1,-0.036294702,-0.908750846
Lpcat4,-0.146565745,-0.908322103
Zfp365,-0.026378004,-0.906743303
Pank1,-0.138704011,-0.905397954
Serpini1,-0.085392975,-0.903661609
Mpp3,0.225234404,-0.902779542
Diaph3,0.026054528,-0.902486755
Cstf2,-0.074851563,-0.90216189
Smim17,0.007673053,-0.900812085
Map3k5,-0.431537747,-0.898907958
Gprc5b,0.054766052,-0.898133465
Slc16a7,-0.108946491,-0.897558046
Asb13,-0.004030829,-0.893393766
Mms22l,-0.320947646,-0.891495685
Bivm,0.208906168,-0.889492373
Fat3,-0.017865355,-0.888760085
Klhl33,-0.006003439,-0.888448774
Oma1,-0.173376877,-0.887112635
Gda,-0.496539226,-0.88620546
Gtdc1,-0.213304304,-0.885851557
Kctd4,0.09020179,-0.884109328
Kcnj12,-0.082328901,-0.882954742
Fezf2,0.015356904,-0.882688928
Clgn,-0.04407385,-0.88247551
Chrm1,0.045657188,-0.881820313
Mrps26,-0.160574989,-0.881598782
Myo16,-0.350925481,-0.881456037
Bche,0.084024411,-0.878526504
Lactb,-0.083435203,-0.878394071
Tmem64,-0.099895025,-0.878012895
Igsf21,0.10921338,-0.876863302
Cadps2,-0.45865165,-0.876855731
Mccc2,0.050413607,-0.875597053
Begain,-0.129672398,-0.875024304
Ccser1,-0.139950671,-0.874117312
Slco6c1,-0.046801948,-0.873679799
Alg6,-0.102712221,-0.873600746
Kank3,-0.037158809,-0.873526855
Nsmce3,-0.00603272,-0.873086158
Pou3f2,0.075058216,-0.872372027
Dnah5,-0.240024936,-0.871892082
Gabra4,-0.116412311,-0.871679893
Nt5e,-0.174293286,-0.870264332
Pcdh10,0.025370578,-0.86998934
Rab40b,-0.054015686,-0.868938399
Cby1,-0.050700334,-0.86889593
S100b,0.551216026,-0.868515758
Meis2,0.039156303,-0.867927938
Grm8,-0.268102663,-0.867658735
Ring1,0.125091108,-0.865840931
Cpq,0.188129127,-0.8658216
Ube3a,-0.02938893,-0.859248068
Pkig,0.035226342,-0.858606194
Acss2os,0.181317409,-0.857027012
Lrrc14,-0.133339023,-0.856373867
Pcdh7,-0.13764158,-0.855440137
Galnt13,0.215011758,-0.852491597
Plcxd3,-0.086774874,-0.850912626
Rragb,-0.102412618,-0.849834744
Ltk,-0.031829614,-0.849068032
Olfr239,0.001978833,-0.848484642
Cep78,0.024544139,-0.847700922
Pcdh9,0.167788082,-0.847680958
Pecr,-0.100480153,-0.84716952
Spred2,0.323312477,-0.839288856
Pou3f1,0.053348097,-0.837238243
C1galt1,-0.127221337,-0.836483748
Ptn,0.627024004,-0.835691155
Kdm5d,0.051988795,-0.835084863
Nova1,-0.058162023,-0.830018401
Vmn2r85,0.1537116,-0.829196819
Dtnbos,0.033076323,-0.828632444
Tigar,-0.087031584,-0.828575216
Pcsk2os1,0.040005731,-0.827828945
Flrt1,-0.07469003,-0.827402718
Yars2,-0.055682537,-0.826064964
Isca2,-0.112946502,-0.825684513
Cntnap5a,0.239547894,-0.823448026
Gtf2h5,-0.015745156,-0.822855532
Polr3h,-0.102171403,-0.821042413
Zfp804b,0.024424469,-0.820915403
St6galnac3,-0.554556714,-0.820643639
Dusp3,0.059042295,-0.82022673
Nhsl2,0.118216536,-0.819286685
Pcsk2,-0.308907632,-0.818779969
Cacnb4,-0.187168286,-0.81842307
Gabra2,0.07712916,-0.818021746
Rab36,-0.033558317,-0.816807777
Gba2,-0.146149664,-0.816805899
Etl4,-0.001365091,-0.815136218
Pex5l,-0.109721935,-0.814257726
Gabrg2,-0.106589033,-0.813252438
Ldb2,0.034234343,-0.812340795
Ccdc7b,0.006910786,-0.811972245
Hnrnpa0,-0.098200289,-0.811435485
Rundc1,0.054105016,-0.809193033
Myrip,-0.099562711,-0.808744491
Mrps7,0.145072316,-0.807076385
Tmem218,-0.162203024,-0.806414798
